,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
IFIT3,-3.11396195605341,6.346226276517572,300.3680592817257,8.653453071453109e-12,6.981811230814044e-08,IFIT3,T_cells_CD4
XAF1,-2.2271535758585004,6.944051347687503,264.10570878202867,2.2979224513604448e-11,6.981811230814044e-08,XAF1,T_cells_CD4
ADI1,-3.079806668377712,5.169683251052132,263.714016254447,2.323869865244365e-11,6.981811230814044e-08,ADI1,T_cells_CD4
IL27RA,-2.3083311891097873,5.425155169367667,251.4813751599025,3.3270271502702693e-11,6.981811230814044e-08,IL27RA,T_cells_CD4
SYTL3,-2.6416711058235403,5.523077314180051,250.07441554957134,3.470867038993021e-11,6.981811230814044e-08,SYTL3,T_cells_CD4
DNAJB1,-1.777843639123769,6.35804759826801,247.40189192064628,3.763779639252854e-11,6.981811230814044e-08,DNAJB1,T_cells_CD4
HERC6,-3.310731235501731,4.283051978161483,240.93833749278082,4.594374703759864e-11,7.305055778978184e-08,HERC6,T_cells_CD4
CTNNAL1,3.0903226261350603,3.7317253911602024,224.77001241547205,7.741363835562945e-11,9.809310898088976e-08,CTNNAL1,T_cells_CD4
IFI35,-2.2575682246164916,5.834955433726353,224.04135748327622,7.932057329991085e-11,9.809310898088976e-08,IFI35,T_cells_CD4
METRN,2.7303605849713453,6.001446858633886,208.0459054571533,1.3799889334208e-10,1.5359276828973503e-07,METRN,T_cells_CD4
RASAL3,-1.8051471465918514,5.2977539059796115,201.61947267686836,1.7433741791324508e-10,1.7639776921585615e-07,RASAL3,T_cells_CD4
MX1,-2.6009894771727553,6.883944883256169,193.89925793601333,2.3302492706611e-10,2.16130619853817e-07,MX1,T_cells_CD4
RSAD2,-2.8437202441745333,5.513659429705944,183.1060688410506,3.561307757203725e-10,3.049027333667497e-07,RSAD2,T_cells_CD4
PMF1,-2.1073397489523846,4.812356177533801,180.42600015260268,3.9710563542328396e-10,3.1569898016151077e-07,PMF1,T_cells_CD4
MX2,-3.0702838429938546,6.619529650216616,178.40665686263654,4.3149222194651526e-10,3.201672286843143e-07,MX2,T_cells_CD4
ECHDC2,-2.7344786675774624,3.8495006932018,174.84307690886465,5.00667839666005e-10,3.4827706596766477e-07,ECHDC2,T_cells_CD4
TM7SF2,2.3306845779521805,4.4178164623966385,166.13454332046925,7.287968033708241e-10,4.572570472463812e-07,TM7SF2,T_cells_CD4
HSP90AA1,-1.7079794765419756,9.796708926124213,165.80458166235832,7.394992677839049e-10,4.572570472463812e-07,HSP90AA1,T_cells_CD4
FGD3,-1.5896053034927156,5.847108735071043,161.58653096236316,8.931152696880665e-10,5.158432225173475e-07,FGD3,T_cells_CD4
IFIT1,-2.6601995444449917,6.07508772587248,160.7674053357608,9.269419991326999e-10,5.158432225173475e-07,IFIT1,T_cells_CD4
IFI44L,-3.285175290051828,6.9197747513163845,159.5522801561504,9.798102148579396e-10,5.19299413874708e-07,IFI44L,T_cells_CD4
TRIM22,-1.800108180292634,7.076893806195397,149.90609581657216,1.5436431949316014e-09,7.809431254358511e-07,TRIM22,T_cells_CD4
STMN1,2.4573650580273667,7.594762432693093,148.73802780991485,1.6339216576134448e-09,7.90676002140767e-07,STMN1,T_cells_CD4
IRF7,-2.029019932353981,5.606221291711153,145.6802683717561,1.899736276146885e-09,8.810026980631179e-07,IRF7,T_cells_CD4
PGP,1.3401270857078653,6.322336910026152,143.28565613166367,2.1420742422782884e-09,9.536514526622939e-07,PGP,T_cells_CD4
HIST1H1B,3.197811516133159,4.218277174505814,138.1165847812039,2.7933884205336643e-09,1.167722914768893e-06,HIST1H1B,T_cells_CD4
DDX60,-2.168401857544271,5.1618850202287065,135.62605879921347,3.184787213372067e-09,1.167722914768893e-06,DDX60,T_cells_CD4
DPEP2,-2.485955882270585,4.035300553002434,134.9715962925606,3.2976297199836197e-09,1.167722914768893e-06,DPEP2,T_cells_CD4
IRF9,-1.986640861535078,5.1787244682491425,134.7374415549239,3.339089926852156e-09,1.167722914768893e-06,IRF9,T_cells_CD4
SAMD9L,-1.7661603020877217,6.581619872251888,134.64521986871972,3.3555797271539655e-09,1.167722914768893e-06,SAMD9L,T_cells_CD4
BTN3A3,-1.921470502566204,5.016613909085689,134.24561066628402,3.4280989173723954e-09,1.167722914768893e-06,BTN3A3,T_cells_CD4
AC013264.1,-2.8341896431296787,4.472147381822821,134.19720588478788,3.437002304656681e-09,1.167722914768893e-06,AC013264.1,T_cells_CD4
NPM3,1.7192878535288978,4.167516047935508,134.06069946040364,3.4622512297729985e-09,1.167722914768893e-06,NPM3,T_cells_CD4
IFI6,-2.046781728814118,7.752868670417711,130.43036130843623,4.216796670983093e-09,1.3803807925894654e-06,IFI6,T_cells_CD4
HSD17B8,2.1379540666056216,5.00499919707254,128.67145586316943,4.647718900453483e-09,1.4779746103442076e-06,HSD17B8,T_cells_CD4
DDAH2,2.375528292421716,4.969369869966221,128.04600357961993,4.812724885582188e-09,1.4879341104591599e-06,DDAH2,T_cells_CD4
CTSS,-1.6114977840425764,6.794446155039976,127.33315469276991,5.0088772218056424e-09,1.506724418343157e-06,CTSS,T_cells_CD4
KAT6B,-1.7248699878650835,5.561842185220047,124.62196650981451,5.841564443584524e-09,1.6807379987601077e-06,KAT6B,T_cells_CD4
CMPK2,-2.4276036542008774,4.143589822460758,124.47970489030791,5.889378432313047e-09,1.6807379987601077e-06,CMPK2,T_cells_CD4
HSPA1B,-2.677514393327826,5.02827144381972,121.7897077043376,6.881783416178263e-09,1.9148562355516017e-06,HSPA1B,T_cells_CD4
C1ORF35,1.2633912576457889,5.7875671328893095,121.08375640305553,7.172498232965521e-09,1.947070861778201e-06,C1ORF35,T_cells_CD4
FUOM,1.420561108244498,4.272904116887707,119.80749026281929,7.733834776747763e-09,2.0494662158381573e-06,FUOM,T_cells_CD4
NMI,-1.6298700012485172,6.1055662780112385,118.40934811740279,8.406246413404167e-09,2.148215274640952e-06,NMI,T_cells_CD4
TRANK1,-1.478074968696983,5.366919734961213,118.23916048373772,8.492495245660547e-09,2.148215274640952e-06,TRANK1,T_cells_CD4
VAT1,1.9210293802904137,4.1527180212171855,116.782789363111,9.272685742346395e-09,2.2934442736070087e-06,VAT1,T_cells_CD4
ISG15,-2.23632885726536,8.57593443346387,116.24495718554273,9.58094828104859e-09,2.3181729210450177e-06,ISG15,T_cells_CD4
RNF125,-1.6447949712623995,5.497054438332133,114.84383908643629,1.0439609034379981e-08,2.4354774181702306e-06,RNF125,T_cells_CD4
ADAMTS6,2.5665219990549204,3.7438834164774546,114.74495438445585,1.0503406655181588e-08,2.4354774181702306e-06,ADAMTS6,T_cells_CD4
CARD8,-1.4884623176068033,5.86202700364344,114.14142249954423,1.0902429856463835e-08,2.4764090673967855e-06,CARD8,T_cells_CD4
EPC2,-1.6693080469228376,4.483128179708629,113.0759415339427,1.1649212458702289e-08,2.532013950125013e-06,EPC2,T_cells_CD4
ACADVL,1.2664221730528225,5.667534400503374,113.04700856502528,1.1670278942996085e-08,2.532013950125013e-06,ACADVL,T_cells_CD4
NRM,2.5027588910743246,3.2582071493400497,112.57566456061262,1.2019579658458513e-08,2.532013950125013e-06,NRM,T_cells_CD4
GTF2IRD2,-3.6659382844224644,3.0123353293068083,112.43193337749828,1.2128424174850132e-08,2.532013950125013e-06,GTF2IRD2,T_cells_CD4
SH3YL1,-1.4038129543972957,5.666447806983293,112.1444561595459,1.2349468170045953e-08,2.532013950125013e-06,SH3YL1,T_cells_CD4
EPSTI1,-2.5425443903645104,6.489802635013848,111.9364940610165,1.2512198315981644e-08,2.532013950125013e-06,EPSTI1,T_cells_CD4
HMGN5,2.0963538762226066,3.698644672017015,111.40051728479852,1.2942837195140893e-08,2.5723888925342526e-06,HMGN5,T_cells_CD4
TMEM256,1.3455331743669945,6.8409383832882185,109.38294836363309,1.4720205073718108e-08,2.8743137275523253e-06,TMEM256,T_cells_CD4
USP18,-3.279719049917653,3.9865865643001235,108.28695875574734,1.579985441108192e-08,3.0319375792300306e-06,USP18,T_cells_CD4
H2AFJ,1.5288075536215884,6.504719747004574,107.57651745211207,1.6547230256839696e-08,3.1215368264173866e-06,H2AFJ,T_cells_CD4
H1FX,1.6281943378450279,8.806773167008041,107.08070957730716,1.7092381439000723e-08,3.170636756934634e-06,H1FX,T_cells_CD4
POLE4,-1.5592781139821998,5.443112187209713,106.47357706978238,1.778765893729274e-08,3.245518753640462e-06,POLE4,T_cells_CD4
UFC1,-1.2567970392449708,6.699462542358048,106.11252138497409,1.8216196671323545e-08,3.2701011121263075e-06,UFC1,T_cells_CD4
ADAM15,2.3500110984352145,2.7032138978500875,105.43309613998527,1.905448169880006e-08,3.3556637069871692e-06,ADAM15,T_cells_CD4
DAZAP2,-1.1467423521231592,6.915268721560019,105.24371281247373,1.9295820058147245e-08,3.3556637069871692e-06,DAZAP2,T_cells_CD4
SLTM,-1.2078394110570951,6.51379492978225,103.21219974565173,2.211292485926217e-08,3.786413133593661e-06,SLTM,T_cells_CD4
RNASEL,-2.498418104326816,3.192573980625933,102.89754827541493,2.2589349786387688e-08,3.809385804886287e-06,RNASEL,T_cells_CD4
JADE2,-2.1368772049037257,4.8350553082716425,102.49591488981694,2.321434418795333e-08,3.844864617166669e-06,JADE2,T_cells_CD4
MIR210HG,-2.6292982436473262,3.933523598003967,124.66385920916375,2.3564228865582693e-08,3.844864617166669e-06,MIR210HG,T_cells_CD4
IFITM3,-1.988949026688375,6.115239323772868,102.10826474831282,2.383608792313568e-08,3.844864617166669e-06,IFITM3,T_cells_CD4
HES6,2.359726148719184,3.0883265406084766,101.84440152209665,2.4270007575315174e-08,3.858931204475112e-06,HES6,T_cells_CD4
MPRIP,-1.2541735589972258,5.328339300419895,101.0333421091447,2.566044686572116e-08,4.022546107260233e-06,MPRIP,T_cells_CD4
H1F0,2.9831836120535127,3.7067321220937144,100.38784044484166,2.6831266051610137e-08,4.1476665438114e-06,H1F0,T_cells_CD4
DTX3L,-1.5649622080194645,5.5547919587663825,99.26375471866018,2.9016497236262092e-08,4.424022112871193e-06,DTX3L,T_cells_CD4
AVEN,-3.504714984954082,2.7110555675716768,98.57338947613847,3.045755924797302e-08,4.580981546350537e-06,AVEN,T_cells_CD4
PAFAH1B3,1.4809448539062569,5.066421670652697,96.75977536951763,3.4642630644402e-08,5.140966387629257e-06,PAFAH1B3,T_cells_CD4
OAS2,-1.7083991204857523,5.668586172659923,96.28226951726364,3.5849577600295745e-08,5.2364944163303435e-06,OAS2,T_cells_CD4
GMNN,1.5166034627725822,4.188039527484673,96.12688742465349,3.625247092471863e-08,5.2364944163303435e-06,GMNN,T_cells_CD4
FXYD7,2.193113647174967,5.154505169284683,95.95738257191638,3.6697804534929635e-08,5.2364944163303435e-06,FXYD7,T_cells_CD4
CCDC74A,4.047621021171933,0.6783397374289641,95.57857247084297,3.771546308781246e-08,5.313583597055097e-06,CCDC74A,T_cells_CD4
ZBTB1,-1.181224263214088,5.729675197317752,93.89251339358054,4.264743286414942e-08,5.92907698835687e-06,ZBTB1,T_cells_CD4
ARL3,1.2331534272000233,5.344355821459529,93.73325827453277,4.31496168963977e-08,5.92907698835687e-06,ARL3,T_cells_CD4
CCL28,-2.251309468594007,4.176733387489355,93.31482165596121,4.45010962039695e-08,6.040209765246103e-06,CCL28,T_cells_CD4
SHISA5,-1.2634578118950577,5.831129410988928,92.43116381759958,4.751457683178216e-08,6.350216899766155e-06,SHISA5,T_cells_CD4
CARD11,-1.8857186876511423,3.7653631983137794,92.21447934883628,4.8288139984936896e-08,6.350216899766155e-06,CARD11,T_cells_CD4
IQSEC1,-1.422516125837844,4.221149003978027,92.15672305656473,4.84967148679356e-08,6.350216899766155e-06,IQSEC1,T_cells_CD4
RGL4,-3.448834599386548,3.811628649570212,91.81432648004281,4.975422487689208e-08,6.439122359067544e-06,RGL4,T_cells_CD4
MPC2,0.927466056570397,6.659859964010302,91.0492182542681,5.269903204077039e-08,6.741841685215798e-06,MPC2,T_cells_CD4
PPP3CB-AS1,-2.7265407294973674,3.053015850064884,90.04216208635201,5.687859452029146e-08,7.1688992254744495e-06,PPP3CB-AS1,T_cells_CD4
PLSCR1,-1.5212424778255347,5.716863703407388,89.92426858565136,5.7391819686127406e-08,7.1688992254744495e-06,PLSCR1,T_cells_CD4
DNAJA4,-2.941347022539571,2.7989088203888874,89.65493658729055,5.8583968307696014e-08,7.1688992254744495e-06,DNAJA4,T_cells_CD4
EIF2AK2,-1.5737717004028144,6.706180051113678,89.64831165148769,5.86136414661433e-08,7.1688992254744495e-06,EIF2AK2,T_cells_CD4
BARD1,1.347216473227704,4.224093852219047,89.30624172552325,6.016900592324182e-08,7.279141694844363e-06,BARD1,T_cells_CD4
C16ORF74,-2.9572821033059626,2.8119268565861932,88.85377885779138,6.229815248238429e-08,7.45568211966599e-06,C16ORF74,T_cells_CD4
TRIP10,3.0347531829089927,2.5075557322893616,88.37621874572864,6.463784359264672e-08,7.653395736022957e-06,TRIP10,T_cells_CD4
ETHE1,1.2378405587993841,5.942400163777267,88.00084293111068,6.654640547470828e-08,7.7654302370206e-06,ETHE1,T_cells_CD4
CENPK,1.621898818220727,4.328296408974784,87.85429193130865,6.730867597872675e-08,7.7654302370206e-06,CENPK,T_cells_CD4
PIK3CD-AS2,2.7137069215240643,2.4419274002330367,87.69882030778295,6.812810512680575e-08,7.7654302370206e-06,PIK3CD-AS2,T_cells_CD4
PARP14,-1.4581090828272538,6.424160092860012,87.65241547141548,6.83748574328858e-08,7.7654302370206e-06,PARP14,T_cells_CD4
MARCKSL1,1.3205721621801811,6.011235649606308,87.38156058238405,6.983531800355048e-08,7.789936383315104e-06,MARCKSL1,T_cells_CD4
PARP9,-1.5117146764523022,5.851755622272652,87.35316621456386,6.999044369555349e-08,7.789936383315104e-06,PARP9,T_cells_CD4
CYB561D2,-1.2686824530400067,4.666798395565478,86.68351329303837,7.376375433452733e-08,8.074532974470068e-06,CYB561D2,T_cells_CD4
RTP4,-2.15953757203938,4.6449632605107665,86.64314773172997,7.399841539945615e-08,8.074532974470068e-06,RTP4,T_cells_CD4
SPSB2,1.5715067793482658,4.016277539043927,86.31971170269709,7.590930488082638e-08,8.202626828384444e-06,SPSB2,T_cells_CD4
DDX58,-1.3882540943258916,5.259403897814101,86.14407404746304,7.697021257743305e-08,8.237292942181056e-06,DDX58,T_cells_CD4
ZNF580,1.4246865356418907,4.953144575110949,85.94177309165345,7.821290532803704e-08,8.273151605992844e-06,ZNF580,T_cells_CD4
GSTP1,-1.5153650198642756,7.165877230622741,85.84874551184427,7.87919200570747e-08,8.273151605992844e-06,GSTP1,T_cells_CD4
RPA3,0.9956273168917893,6.68078754257444,85.59629974118018,8.038762812301345e-08,8.361815897281679e-06,RPA3,T_cells_CD4
HIST1H2AL,2.4983146147348734,2.069421873993079,84.33227696824555,8.894481783863565e-08,9.165634946466569e-06,HIST1H2AL,T_cells_CD4
BCLAF1,-1.1509060417512582,6.079161652441469,84.21874414649041,8.976228294383252e-08,9.165634946466569e-06,BCLAF1,T_cells_CD4
ZBTB38,-1.9976751512313669,5.517031428790477,83.69742726738838,9.362606678571369e-08,9.473255666590848e-06,ZBTB38,T_cells_CD4
CDKN1C,2.032258510186128,3.1747792659084353,83.4393294916421,9.560799349230324e-08,9.541144575827822e-06,CDKN1C,T_cells_CD4
ROGDI,2.0312342347543346,2.686056490445448,83.38751798183054,9.601151774417933e-08,9.541144575827822e-06,ROGDI,T_cells_CD4
RAB11B,-1.4819712323494343,4.563374773715782,82.97807595495505,9.926865624972553e-08,9.72887439920026e-06,RAB11B,T_cells_CD4
LINC00173,2.8668978385226422,2.682848284698933,82.92891524943742,9.966802606160809e-08,9.72887439920026e-06,LINC00173,T_cells_CD4
SSSCA1,1.5256710915969278,6.0789133135506965,82.82441752218608,1.0052296099802604e-07,9.72887439920026e-06,SSSCA1,T_cells_CD4
USE1,-1.4752637285117007,4.958658102902743,82.64770676506372,1.0198754064970352e-07,9.785528684751726e-06,USE1,T_cells_CD4
XIAP,-1.1969598367580687,5.475180190401324,82.44198754786072,1.0372287504871536e-07,9.794885462148656e-06,XIAP,T_cells_CD4
CYP2R1,1.5494591724132463,3.537286510442537,82.38035190150987,1.0424924992367078e-07,9.794885462148656e-06,CYP2R1,T_cells_CD4
BIN2,-1.4975087443276789,6.775908173317022,82.32492256019725,1.0472519047580324e-07,9.794885462148656e-06,BIN2,T_cells_CD4
PCBD1,-2.156960472004601,4.197637107306258,82.17586199067604,1.0601726429069147e-07,9.833101262961634e-06,PCBD1,T_cells_CD4
OAS3,-1.9568873041901864,4.2823386158967365,81.82043976187308,1.0917111352044664e-07,1.0035549381325445e-05,OAS3,T_cells_CD4
MRPL54,-1.1197783661098233,5.83693025033408,81.68923361638974,1.1036194725953665e-07,1.0035549381325445e-05,MRPL54,T_cells_CD4
RABEP2,-2.6713309150060756,2.951466709089245,81.62992866246262,1.1090499316289577e-07,1.0035549381325445e-05,RABEP2,T_cells_CD4
BISPR,-1.4636417957976655,4.65148312142877,81.47179149870747,1.1236778763003965e-07,1.0085915131631785e-05,BISPR,T_cells_CD4
REEP6,2.1682070521058687,1.8930555804440463,81.28017522926183,1.1416944274832368e-07,1.0157618082606726e-05,REEP6,T_cells_CD4
P4HA1,-1.4878259608065314,5.338797411891982,81.19382996740008,1.1499190282196295e-07,1.0157618082606726e-05,P4HA1,T_cells_CD4
MT-TP,-2.7499720497861637,4.206344679859321,80.98649427445632,1.1699419194526684e-07,1.025311304213244e-05,MT-TP,T_cells_CD4
CASP4,-1.3848071974026273,6.659823520649753,80.86744896081741,1.1816155395209444e-07,1.0274516370990712e-05,CASP4,T_cells_CD4
EPB41L2,1.6346614117836293,3.587600930384428,80.50686779130088,1.217781787048213e-07,1.050690797662528e-05,EPB41L2,T_cells_CD4
PARP15,-2.956464125360884,3.921201858075007,80.39627015662994,1.2291231020999807e-07,1.052318471259445e-05,PARP15,T_cells_CD4
ISG20,-1.4883449029982454,8.02163666259161,80.2420350123438,1.245138241451441e-07,1.0578922616301174e-05,ISG20,T_cells_CD4
IFT43,1.5604883661190858,4.4675326627035385,79.81447924690531,1.290775465317764e-07,1.0883584037111146e-05,IFT43,T_cells_CD4
GIPC1,1.2514098802842273,4.919103625503741,79.60646893503294,1.313656891857376e-07,1.099323398975383e-05,GIPC1,T_cells_CD4
RAB40B,2.1216289314756653,2.529739738935669,79.3194130522222,1.3459867735501268e-07,1.1131415680803762e-05,RAB40B,T_cells_CD4
RIPOR2,-1.1142586740857687,7.604747426605429,79.28282303981335,1.3501717133050385e-07,1.1131415680803762e-05,RIPOR2,T_cells_CD4
DAD1,1.0013533547415543,8.2794838996689,79.10731700635932,1.3704496424759726e-07,1.1215518029968805e-05,DAD1,T_cells_CD4
RAD51-AS1,-1.6875479896703598,4.2012557933651244,78.9258702497682,1.3917750151027787e-07,1.1306902129995567e-05,RAD51-AS1,T_cells_CD4
CDK2,2.0435037086318335,2.861738731414279,78.0415246039383,1.5012045830395647e-07,1.210754131103649e-05,CDK2,T_cells_CD4
USP30-AS1,-1.671419084800476,3.8669885203391967,77.52955869237184,1.5689637961273445e-07,1.2562997878343413e-05,USP30-AS1,T_cells_CD4
SRSF8,-1.0180665624290033,5.725405627930095,77.43989534779364,1.581181556113955e-07,1.2570393371105942e-05,SRSF8,T_cells_CD4
ITGAL,-1.4525844939392634,6.103691740566519,76.83513991512156,1.6664390397998002e-07,1.315423156948353e-05,ITGAL,T_cells_CD4
APOL6,-1.211217033071704,6.511827072482908,76.63574542884055,1.6956741256784838e-07,1.3249025933724321e-05,APOL6,T_cells_CD4
RBM3,-1.2862114086533003,6.746580602475192,76.58767900421697,1.7028076380648278e-07,1.3249025933724321e-05,RBM3,T_cells_CD4
BEX5,2.0717226748371123,4.94883737583855,76.51090980795611,1.7142710629265455e-07,1.3249025933724321e-05,BEX5,T_cells_CD4
AC073332.1,-2.439160110481814,3.0684141883783367,76.4325372012768,1.7260635762713626e-07,1.3249025933724321e-05,AC073332.1,T_cells_CD4
HELZ2,-1.7191468815855462,4.293758798719129,76.22939102467983,1.757057711598751e-07,1.3394556390475409e-05,HELZ2,T_cells_CD4
ABHD14A,-1.3442729371695534,4.843303601559269,75.5641693649692,1.863019780151358e-07,1.4105721192574567e-05,ABHD14A,T_cells_CD4
ARL6IP4,1.2051904940163143,7.115983115535974,75.04228237829268,1.95119493828848e-07,1.4647423075220123e-05,ARL6IP4,T_cells_CD4
FLOT2,-1.448775237422009,4.537575186747885,74.98654768885808,1.9608859283088933e-07,1.4647423075220123e-05,FLOT2,T_cells_CD4
TYW3,-1.2219575452988818,4.960141889414435,74.8327753396483,1.9879054964538868e-07,1.4750258783687841e-05,TYW3,T_cells_CD4
PTRH1,1.2966351822174125,4.382573877191597,74.2226163723532,2.099325377414675e-07,1.547383539776512e-05,PTRH1,T_cells_CD4
THOC6,-1.5483950276336371,3.5272529556486423,73.91212197619832,2.1587103463202687e-07,1.5709738681441987e-05,THOC6,T_cells_CD4
SGF29,-1.2555599832429576,4.668966625710524,73.90775077948832,2.1595597648343434e-07,1.5709738681441987e-05,SGF29,T_cells_CD4
AL357060.1,-1.8209968760145527,3.7197275055090566,73.28542156335611,2.2844213695765695e-07,1.651013626193975e-05,AL357060.1,T_cells_CD4
CD84,-1.981696672164031,5.000663794859733,73.09617669484828,2.3239865114037932e-07,1.6639777050697886e-05,CD84,T_cells_CD4
PTPN2,-0.8996137194628853,6.135456700079023,73.05706260578653,2.3322598561625072e-07,1.6639777050697886e-05,PTPN2,T_cells_CD4
RRAS,1.2618742634839817,4.9389188584339925,72.93527946562794,2.358232225452194e-07,1.6717913802091033e-05,RRAS,T_cells_CD4
LAMP3,-2.665680937805424,2.681709536773402,72.66246533493391,2.417604297197804e-07,1.7030339131526306e-05,LAMP3,T_cells_CD4
TSPAN4,1.8689460951564993,2.7961013500362166,72.46120440620632,2.4624830004155364e-07,1.7232213643434043e-05,TSPAN4,T_cells_CD4
GGH,2.387257152098626,1.7774214842731055,72.39598142487563,2.4772274779420007e-07,1.7232213643434043e-05,GGH,T_cells_CD4
PPCS,-0.8745413712542508,6.018926307121473,72.25608688760919,2.5091886820703947e-07,1.734613045431273e-05,PPCS,T_cells_CD4
PRDX6,0.9865244256486088,7.155741646801495,72.08764380902188,2.548289692048267e-07,1.750769399536865e-05,PRDX6,T_cells_CD4
SUMO3,-1.0261857075489216,5.706599433082735,71.9810994295509,2.5733759065291554e-07,1.7571579042742027e-05,SUMO3,T_cells_CD4
SLC25A29,2.878589934761689,2.051911835793702,71.87125770164367,2.5995298284311924e-07,1.76419310917312e-05,SLC25A29,T_cells_CD4
TFEB,1.6265893072810538,3.0772081628804226,71.39421589560354,2.7166407838698575e-07,1.832497692392213e-05,TFEB,T_cells_CD4
CCDC28B,1.411190789524083,4.407939767028148,70.93449131254437,2.8351461996127255e-07,1.9009142892584115e-05,CCDC28B,T_cells_CD4
SPATS2L,-2.228417260755136,4.129705657678399,70.19642548313038,3.0377697666284074e-07,2.0138383204663808e-05,SPATS2L,T_cells_CD4
IFT22,1.6777724230725208,2.98987345908491,70.18946751539583,3.039755955420952e-07,2.0138383204663808e-05,IFT22,T_cells_CD4
GTF2IRD2B,-3.301739427627374,1.9584246005180683,70.06091834223696,3.0767151861025474e-07,2.0262627231551095e-05,GTF2IRD2B,T_cells_CD4
CD79B,-1.8100566951477035,3.900564399021232,69.99403270993207,3.0961453355575077e-07,2.0270645638091212e-05,CD79B,T_cells_CD4
RIPK1,-1.4296562338955685,4.142371014697518,69.70109840915029,3.1828847665409653e-07,2.0716671024328038e-05,RIPK1,T_cells_CD4
SPNS3,-2.4888401912078586,3.4270184276639375,69.3121026022989,3.302326426626962e-07,2.1369123911836095e-05,SPNS3,T_cells_CD4
FAIM,-2.9753100255749714,2.780770512640635,69.06910662272354,3.379495303122551e-07,2.1742070938586127e-05,FAIM,T_cells_CD4
SERTAD3,1.2303284946964843,4.332911892724365,68.96058722377853,3.4146119977371695e-07,2.1841742261387757e-05,SERTAD3,T_cells_CD4
MAML3,2.056588324840603,2.531319828625813,68.61785129032147,3.528246186509139e-07,2.230476970630651e-05,MAML3,T_cells_CD4
CARD19,1.4121035206680785,5.353680323304659,68.58170866220041,3.5404753169150014e-07,2.230476970630651e-05,CARD19,T_cells_CD4
GPX4,0.9812558152257385,8.515462982934814,68.562130317463,3.547119710706426e-07,2.230476970630651e-05,GPX4,T_cells_CD4
NT5C,-1.121868770766204,5.349065227832869,68.4963668816136,3.5695410982192547e-07,2.2319658664708036e-05,NT5C,T_cells_CD4
SOX12,2.180362530632065,3.1689611431306903,68.34579830882467,3.621479084547584e-07,2.2517911849728833e-05,SOX12,T_cells_CD4
LGALS9,-2.259635194604764,4.053344907662897,68.15193076734775,3.689609791248635e-07,2.2814087209220726e-05,LGALS9,T_cells_CD4
SLC2A4RG,0.9781602268118013,5.198214316702504,67.67599499832448,3.8630695223956726e-07,2.3754676123902674e-05,SLC2A4RG,T_cells_CD4
KIFC2,2.028509683169139,2.3023820279827483,67.5736780138807,3.9015473700019706e-07,2.385946276270436e-05,KIFC2,T_cells_CD4
ANKRD42,1.710604282188098,3.086650232067919,67.10529778088296,4.0832848394370017e-07,2.480524136828114e-05,ANKRD42,T_cells_CD4
GPN3,0.9546240374781707,5.30280370509376,67.0614593388441,4.1007766502818775e-07,2.480524136828114e-05,GPN3,T_cells_CD4
GPAA1,1.323790627061791,4.570276525071799,66.87255406607127,4.177121846067922e-07,2.513046818742485e-05,GPAA1,T_cells_CD4
FBXO6,-1.9905877232993443,3.7780294470978606,66.55968198708392,4.30711232136316e-07,2.5773204374608588e-05,FBXO6,T_cells_CD4
LAX1,-1.4393680039399768,4.297587365155199,65.59951580905825,4.7353517980267725e-07,2.8154952657187005e-05,LAX1,T_cells_CD4
OAS1,-1.3772045199422018,5.4981457133174745,65.55628023291837,4.755733243082801e-07,2.8154952657187005e-05,OAS1,T_cells_CD4
FAM217B,-1.3065446495038955,4.906407939080785,65.48919626476248,4.787552648761961e-07,2.8193365598264877e-05,FAM217B,T_cells_CD4
HMGN2,-0.9242658342560345,7.621300506520599,65.38083510609532,4.839458102678213e-07,2.8282766682677368e-05,HMGN2,T_cells_CD4
SPOP,-0.9152806376583642,5.566822031437232,65.35162805546548,4.85355654662298e-07,2.8282766682677368e-05,SPOP,T_cells_CD4
MISP3,2.33970965687373,2.844829650700601,65.12487490755053,4.964597835299717e-07,2.8743545795545053e-05,MISP3,T_cells_CD4
PCSK1N,2.0980468693022534,5.195577891681402,65.08527724134233,4.984280627619223e-07,2.8743545795545053e-05,PCSK1N,T_cells_CD4
SYNE2,-1.0871514901077546,8.083850240480961,64.80745358314236,5.124873880034825e-07,2.9401982621024538e-05,SYNE2,T_cells_CD4
SERPINB8,-2.090293462027588,3.037536798042816,64.68538613323449,5.188053344787216e-07,2.9611812167939345e-05,SERPINB8,T_cells_CD4
RBM22,-0.9237816369726903,5.5953462153770746,64.63173374050844,5.21609959125557e-07,2.9619994107486985e-05,RBM22,T_cells_CD4
TRIM56,-1.2080468585045308,6.16079476684398,64.37495631770219,5.352711730383649e-07,3.0241462720390867e-05,TRIM56,T_cells_CD4
BTD,-1.398224861788139,3.4377844472513983,64.18156462193967,5.458260935866776e-07,3.0682042533432934e-05,BTD,T_cells_CD4
CHMP3,-1.1334590170322671,5.667621808310222,63.73327107153348,5.712058961046163e-07,3.194734484243407e-05,CHMP3,T_cells_CD4
CREBBP,-1.2594019829366185,5.044713542870634,63.62696073267462,5.774176819834997e-07,3.213329400238176e-05,CREBBP,T_cells_CD4
MEPCE,-1.802941748277707,3.5415465498444987,63.56130513630396,5.812919427899893e-07,3.2187956832102396e-05,MEPCE,T_cells_CD4
