,logFC,logCPM,F,PValue,FDR,gene_symbol,cell_type
AGPAT1,0.6340002631777009,3.8161755541843463,13.795316418569675,0.0018860038828243803,0.009863858213985296,AGPAT1,T_cells_CD4
S100A11,-0.7578309229617387,8.689852157706436,13.792713789494282,0.001887399551663855,0.009863858213985296,S100A11,T_cells_CD4
PPP1R12B,0.7128501903611565,3.3116890418887093,13.792167699999391,0.001887692542299073,0.009863858213985296,PPP1R12B,T_cells_CD4
NUFIP2,-0.4699085368852292,6.10348511588894,13.788055007513648,0.001889900757847606,0.00987076275684836,NUFIP2,T_cells_CD4
FLT3LG,-0.7609296778342177,4.872354406668179,13.778247683776808,0.0018951783759823607,0.009893684486249377,FLT3LG,T_cells_CD4
GMDS,0.6944942981725363,3.1566941533002337,13.773158773100615,0.0018979234410842916,0.009903369854321692,GMDS,T_cells_CD4
DNAJC1,0.43230691190452086,6.325185701321663,13.768291548232268,0.0019005531327923873,0.009912444408612591,DNAJC1,T_cells_CD4
NOB1,-0.5610211673049559,4.788315354886144,13.754198354305764,0.0019081907572439949,0.009947617390222792,NOB1,T_cells_CD4
GEMIN8,0.8516011583258895,3.254247480923039,13.74956903498723,0.0019107071276018945,0.009956072251970545,GEMIN8,T_cells_CD4
TLNRD1,-0.5958010300988738,4.052478451291414,13.74414790414222,0.0019136586777364437,0.009963869253716185,TLNRD1,T_cells_CD4
C12ORF10,0.5152569806113914,5.7298107065079575,13.741064513856623,0.0019153397390961257,0.009963869253716185,C12ORF10,T_cells_CD4
SBF2,0.5529138616574782,3.768916071718834,13.740618930773453,0.0019155828086681213,0.009963869253716185,SBF2,T_cells_CD4
CPPED1,-1.3874492231847948,2.099565253860628,13.740249459894468,0.0019157843848115576,0.009963869253716185,CPPED1,T_cells_CD4
RECK,0.7645606744815332,3.2992847996104393,13.732856936160331,0.0019198226495543804,0.00998020835569372,RECK,T_cells_CD4
LINC01003,-0.6840428621289144,3.656132014585529,13.729928077032094,0.001921425240378936,0.009981686896047844,LINC01003,T_cells_CD4
